FIPS,NAME,FAF_Zone,FAF_Zone_D
01005,Barbour,019,Rest of AL
01023,Choctaw,019,Rest of AL
01035,Conecuh,019,Rest of AL
01051,Elmore,019,Rest of AL
01065,Hale,019,Rest of AL
01109,Pike,019,Rest of AL
01113,Russell,019,Rest of AL
01117,Shelby,011,Birmingham AL
02016,Aleutians West,,
04015,Mohave,049,Rest of AZ
05011,Bradley,050,Arkansas
05015,Carroll,050,Arkansas
05019,Clark,050,Arkansas
05025,Cleveland,050,Arkansas
05063,Independence,050,Arkansas
05067,Jackson,050,Arkansas
05091,Miller,050,Arkansas
05121,Randolph,050,Arkansas
06001,Alameda,064,San Francisco CA
06005,Amador,069,Rest of CA
06013,Contra Costa,064,San Francisco CA
06023,Humboldt,069,Rest of CA
06037,Los Angeles,061,Los Angeles CA
06047,Merced,069,Rest of CA
06067,Sacramento,062,Sacramento CA
06085,Santa Clara,064,San Francisco CA
06115,Yuba,062,Sacramento CA
08013,Boulder,081,Denver CO
08029,Delta,089,Rest of CO
08049,Grand,089,Rest of CO
08091,Ouray,089,Rest of CO
09009,New Haven,092,New York NY-NJ-CT-PA (CT Part)
11001,District of Columbia,111,Washington DC-VA-MD-WV (DC Part)
12009,Brevard,129,Rest of FL
12023,Columbia,129,Rest of FL
12039,Gadsden,129,Rest of FL
12065,Jefferson,129,Rest of FL
12073,Leon,129,Rest of FL
12095,Orange,123,Orlando FL
12107,Putnam,121,Jacksonville FL-GA  CFS Area (FL Part)
12117,Seminole,123,Orlando FL
12123,Taylor,129,Rest of FL
12133,Washington,129,Rest of FL
13009,Baldwin,139,Rest of GA
13013,Barrow,131,Atlanta GA
13027,Brooks,139,Rest of GA
13073,Columbia,139,Rest of GA
13103,Effingham,132,Savannah GA
13149,Heard,131,Atlanta GA
13179,Liberty,132,Savannah GA
13189,McDuffie,139,Rest of GA
13205,Mitchell,139,Rest of GA
13229,Pierce,139,Rest of GA
13267,Tattnall,139,Rest of GA
13291,Union,139,Rest of GA
13305,Wayne,139,Rest of GA
13319,Wilkinson,139,Rest of GA
15007,Kauai,159,Rest of HI
16015,Boise,160,Idaho
16027,Canyon,160,Idaho
16037,Custer,160,Idaho
16039,Elmore,160,Idaho
16043,Fremont,160,Idaho
16061,Lewis,160,Idaho
16083,Twin Falls,160,Idaho
16085,Valley,160,Idaho
17097,Lake,171,Chicago IL-IN-WI (IL Part)
17107,Logan,179,Rest of IL
17197,Will,171,Chicago IL-IN-WI (IL Part)
18007,Benton,189,Rest of IN
18027,Daviess,189,Rest of IN
18061,Harrison,189,Rest of IN
18103,Miami,189,Rest of IN
18123,Perry,189,Rest of IN
18157,Tippecanoe,189,Rest of IN
18175,Washington,189,Rest of IN
19041,Clay,190,Iowa
19045,Clinton,190,Iowa
19111,Lee,190,Iowa
19135,Monroe,190,Iowa
20067,Grant,209,Rest of KS
20095,Kingman,202,Wichita KS
20199,Wallace,209,Rest of KS
21013,Bell,219,Rest of KY
21031,Butler,219,Rest of KY
21065,Estill,219,Rest of KY
21069,Fleming,219,Rest of KY
21071,Floyd,219,Rest of KY
21099,Hart,219,Rest of KY
21109,Jackson,219,Rest of KY
21127,Lawrence,219,Rest of KY
21151,Madison,219,Rest of KY
21155,Marion,219,Rest of KY
21179,Nelson,212,Louisville KY-IN (KY Part)
21195,Pike,219,Rest of KY
21203,Rockcastle,219,Rest of KY
21217,Taylor,219,Rest of KY
21237,Wolfe,219,Rest of KY
22001,Acadia,229,Rest of LA
22013,Bienville,229,Rest of LA
22029,Concordia,229,Rest of LA
22031,De Soto,229,Rest of LA
22033,East Baton Rouge,221,Baton Rouge LA
22069,Natchitoches,229,Rest of LA
22071,Orleans,223,New Orleans LA-MS (LA Part)
22079,Rapides,229,Rest of LA
22085,Sabine,229,Rest of LA
22119,Webster,229,Rest of LA
23015,Lincoln,230,Maine
24003,Anne Arundel,241,Baltimore MD
24013,Carroll,241,Baltimore MD
24043,Washington,249,Rest of MD
