FIPS,lat,lon,population,has_port,county_name,county_full,state_abbr
01001,32.534921652352594,-86.64274304018787,55390.0,0.0,Autauga,Autauga County,AL
01003,30.72748439138801,-87.72257008979236,212521.0,1.0,Baldwin,Baldwin County,AL
01005,31.869579206090044,-85.39321162476419,25157.0,0.0,Barbour,Barbour County,AL
01007,32.99862340481399,-87.12647707080714,22550.0,0.0,Bibb,Bibb County,AL
01009,33.98086948281589,-86.56737928075054,57787.0,0.0,Blount,Blount County,AL
01011,32.1005253489399,-85.7156788747988,10176.0,0.0,Bullock,Bullock County,AL
01013,31.75244145471831,-86.68029177267778,19888.0,0.0,Butler,Butler County,AL
01015,33.77141932580361,-85.82604969111367,114710.0,0.0,Calhoun,Calhoun County,AL
01017,32.914346656024,-85.39202904125534,33707.0,0.0,Chambers,Chambers County,AL
01019,34.175904299141514,-85.60380299991836,25805.0,0.0,Cherokee,Cherokee County,AL
01021,32.84786373044761,-86.71879906457394,44120.0,0.0,Chilton,Chilton County,AL
01023,32.01977244964056,-88.26317883562955,12925.0,0.0,Choctaw,Choctaw County,AL
01025,31.67667618717362,-87.830808942992,24063.0,0.0,Clarke,Clarke County,AL
01027,33.269023965855894,-85.8605793315608,13350.0,0.0,Clay,Clay County,AL
01029,33.67451865132486,-85.51881715718169,14899.0,0.0,Cleburne,Cleburne County,AL
01031,31.40264740391358,-85.98815338764315,51853.0,0.0,Coffee,Coffee County,AL
01033,34.70046996726537,-87.80492648275538,54695.0,0.0,Colbert,Colbert County,AL
01035,31.429231685149546,-86.99366638311531,12431.0,0.0,Conecuh,Conecuh County,AL
01037,32.936243365290345,-86.24765277515161,10724.0,0.0,Coosa,Coosa County,AL
01039,31.24849105243001,-86.4512660300256,37062.0,0.0,Covington,Covington County,AL
01041,31.73152345923044,-86.313549577015,13858.0,0.0,Crenshaw,Crenshaw County,AL
01043,34.13194105724024,-86.86757816123554,82867.0,0.0,Cullman,Cullman County,AL
01045,31.43180989023874,-85.61100423391827,49342.0,0.0,Dale,Dale County,AL
01047,32.32597438516914,-87.10647388060266,39238.0,0.0,Dallas,Dallas County,AL
01049,34.45980124520456,-85.80410866479755,71437.0,0.0,DeKalb,DeKalb County,AL
01051,32.59664710230312,-86.14915945283003,81422.0,0.0,Elmore,Elmore County,AL
01053,31.126135970434053,-87.16157884273171,36993.0,0.0,Escambia,Escambia County,AL
01055,34.04525561476319,-86.03476618584548,103007.0,0.0,Etowah,Etowah County,AL
01057,33.721222945675976,-87.738858543621,16466.0,0.0,Fayette,Fayette County,AL
01059,34.44169229734741,-87.84373462807847,31542.0,0.0,Franklin,Franklin County,AL
01061,31.095053374161,-85.8390868079536,26385.0,0.0,Geneva,Geneva County,AL
01063,32.853128384848986,-87.95222396779499,8310.0,0.0,Greene,Greene County,AL
01065,32.76266208369325,-87.62914672030601,14801.0,0.0,Hale,Hale County,AL
01067,31.51470413351185,-85.24141391152901,17115.0,0.0,Henry,Henry County,AL
